term,abbreviation,synonyms,related,definition,audience,images,uuid
Agency for Healthcare Research and Quality,AHRQ,,,"A federally funded agency that produces evidence to make health care safer, higher quality, more accessible, equitable, and affordable and that works with partners to ensure that the evidence is understood and used.",Advanced,,b80db867-e932-4461-8fc9-07fec6e31e7a
AIDS case definition,,,"acquired immunodeficiency syndrome, AIDS-defining condition, CD4 count, human immunodeficiency virus","Diagnostic criteria for AIDS established by the Centers for Disease Control and Prevention (CDC). To be diagnosed with AIDS, a person with HIV must have an AIDS-defining condition or have a CD4 count less than 200 cells/mm³ (regardless of whether the person has an AIDS-defining condition).",Living with HIV,https://aidsinfo.nih.gov/images/glossaryimages/AIDS-Case-600.jpg,711d9beb-0e24-43a4-905b-45d53e3bd539
AIDS Clinical Trials Group,ACTG,,,Formerly called Adult AIDS Clinical Trials Group (AACTG). Federally funded program that supports the largest network of HIV/AIDS researchers and clinical trial units in the world. AIDS Clinical Trials Group (ACTG) develops and conducts research related to HIV infection and its complications.,Advanced,,ed23b7e9-f9a8-4e2b-ba17-5af74a920bd1
AIDS dementia complex,ADC,"AIDS encephalopathy, HIV encephalopathy, HIV-associated dementia",,"A progressive neurological condition associated with advanced HIV infection or AIDS. Symptoms include memory loss, slowed movements, and behavioral changes.",Advanced,,ccae57e3-57a6-4c8f-b0e9-a74d66bc6425
alanine aminotransferase,ALT,"alanine transaminase, serum glutamate pyruvate transaminase",liver function test,An enzyme found primarily in the liver. Alanine aminotransferase may be measured as part of a liver function test.,Advanced,,08b2aafc-8cb5-4992-9c1c-991516623445
AIDS education and training centers,AETCs,,,"Regional centers that conduct education and training programs for health care providers who treat people living with HIV/AIDS. Training is targeted to providers who serve minority populations, the homeless, rural communities, prisoners, community and migrant health centers, and Ryan White HIV/AIDS Program-funded sites. AIDS Education and Training Centers (AETCs) serve all 50 states and many U.S. territories.",Advanced,,2ce0494c-816d-4354-b8bb-96d65b985119
AIDS service organization,ASO,,,A non-governmental organization that provides services related to the prevention and treatment of HIV/AIDS.,Newly Infected,,239266b4-5dc1-4f44-bb83-3a8fbc83f711
AIDS-defining condition,,,"acquired immunodeficiency syndrome, Centers for Disease Control and Prevention, opportunistic infection",Any HIV-related illness included in the Centers for Disease Control and Prevention’s (CDC) list of diagnostic criteria for AIDS. AIDS-defining conditions include opportunistic infections and cancers that are life-threatening in a person with HIV.,Living with HIV,https://aidsinfo.nih.gov/images/glossaryimages/AIDS-defining-Conditions-600.jpg,c3405a41-ea6b-43c6-a663-9ecf000c663c
AIDS-related cancer,,,"acquired immunodeficiency syndrome, AIDS-defining condition","A type of cancer that is more likely to occur in people with HIV/AIDS than in people with healthy immune systems. AIDS-related cancers include lung cancer, anal cancer, and Hodgkin lymphoma. Some but not all AIDS-related cancers are AIDS-defining conditions.",Advanced,,c28c9dff-a76c-49c4-a18b-eb90b8a33473
AIDSinfo,,,infoSIDA,"The federal website offering HIV/AIDS medical practice guidelines and information on HIV-related clinical trials and drugs for health care providers, researchers, people affected by HIV/AIDS, and the general public. Information is also available by phone, e-mail, and postal mail.",Advanced,,a7d667b9-f593-4de6-890f-8bbca01889e7
antibody,,immunoglobulin,"B lymphocyte, humoral immunity",A protein produced by B lymphocytes (B cells) in response to an antigen. Antibodies bind to and help destroy antigens.,Advanced,,bc687912-fc1f-4c0d-9d15-9a7fb97ba415
albumin,,,liver function test,A protein made by the liver and found in high concentrations in blood. This protein may be measured as part of a liver function test.,Advanced,,5b2dd206-6e68-489c-a398-83b9c5127853
alkaline phosphatase,ALP,,liver function test,"An enzyme found throughout the body, especially in the liver and bone. Alkaline phosphatase may be measured as part of a liver function test.",Advanced,,67fa56e7-f29b-4cc0-98b4-e10ea560348c
alopecia,,,,Loss of hair. Alopecia may be an adverse effect of some anti-retroviral (ARV) drugs.,Living with HIV,,fd66a78d-308c-4439-868e-086cd3340468
amino acids,,,"peptide, protein",The chemical building blocks of proteins.,Advanced,,6035a6a6-c789-4577-abbe-dc0c49d46513
anemia,,,red blood cell,"A blood disorder caused by reduced number or function of red blood cells. Symptoms may include shortness of breath, fatigue, and rapid heartbeat. HIV-associated causes of anemia include progression of HIV disease, opportunistic infections, and certain anti-retroviral (ARV) drugs.",Advanced,,7d4b76a1-7d52-45a9-9850-d771372cd415
antepartum,,,"intrapartum, postpartum",The time period before childbirth. Antepartum refers to the mother.,Advanced,https://aidsinfo.nih.gov/images/glossaryimages/Pregnancy-timeline-600.jpg,243bee06-0b0b-4256-bc59-59041415b22b
antiretroviral,ARV,,"drug class, retrovirus","A drug used to prevent a retrovirus, such as HIV, from replicating. The term primarily refers to anti-retroviral (ARV) HIV drugs.",Newly Infected,,e159c4bb-9c4e-4d65-9312-b18e46aaa9e3
anticoagulant,,blood thinner,,A drug used to prevent the blood from clotting.,Advanced,,3e6bf5f5-1949-4cf9-bb8f-721686acf1d3
antiretroviral toxic neuropathy,,,Neuropathy,Nerve damage cause by antiretroviral (ARV) drugs.,Living with HIV,,d2d6277c-86e4-4e82-91f7-051a85f62a98
antibiotic,,,microorganism,A drug used to kill or suppress the growth of bacteria.,Newly Infected,,87730d1c-c005-404a-995d-8dacb901c86c
antiretroviral therapy,ART,"combined antiretroviral therapy, highly active antiretroviral therapy",drug class,The daily use of a combination of HIV medicines (called an HIV regimen) to treat HIV infection. A person's initial HIV regimen generally includes three anti-retroviral (ARV) drugs from at least two different HIV drug classes.,Newly Infected,,8edd0523-9dd8-4078-a019-846dfc7a3029
antibody differentiation test,,,"antibody, HIV-1, HIV-2","A type of antibody test that can distinguish HIV-1 antibodies from HIV-2 antibodies. When an initial HIV antibody test result is positive, an antibody differentiation test is done to determine whether a person is infected with HIV-1 or HIV-2. The test is done using a sample of blood.",Advanced,,7560830a-992b-41e9-b8c0-b9e39be6128e
aphthous ulcer,,canker sore,,"An open sore that develops on parts of the mouth (inner surface of the cheeks and lips, tongue, soft palate, or base of the gums). Although aphthous ulcers are non-contagious and non-life-threatening, they can be very painful. Aphthous ulcers are more common and more likely to reoccur in people with HIV than in people without HIV.",Advanced,,216ff477-55de-4672-869e-8a55c6559659
antifungal,,,fungus,A drug used to kill or suppress the growth of fungi.,Advanced,,40ac3326-795c-4630-85ca-77d2622a5e57
antigen,,,immune response,"Any substance that is foreign to the body and triggers an immune response. Antigens include bacteria, viruses, and allergens, such as pollen.",Advanced,,6783c04c-6d2a-4e47-93c5-80c415eb91ae
antigen-presenting cell,APC,,"immune response, T lymphocyte, antigen","A type of immune cell that enables a T lymphocyte (T cell) to recognize an antigen and mount an immune response against the antigen. Antigen-presenting cells (APCs) include macrophages, dendritic cells, and B lymphocytes (B cells).",Advanced,,cd4f429f-de82-47fc-a4ac-e00963285b04
antigen/antibody combination test,,,"antibody, antigen, HIV-1, HIV-2",A type of HIV test that can detect HIV-1 and HIV-2 antibodies and HIV-1 p24 antigen (a protein that forms the HIV core). Antigen/antibody combination tests can detect HIV earlier than tests that only detect HIV antibodies. The test is done using a sample of blood.,Advanced,,d717180e-b701-4e7c-86f8-104a7c718ba5
antineoplastic,,,,"A drug used to inhibit the growth or spread of precancerous cells, cancer cells, or tumors.",Advanced,,3cd2f606-f361-40bd-87cd-33f389575cce
antiprotozoal,,,protozoan,A drug used to kill or suppress the growth of protozoans.,Advanced,,a540d812-3449-4ccc-8fdb-470f5a847b53
Antiretroviral Pregnancy Registry,,,,A project established to monitor prenatal exposures to anti-retroviral (ARV) drugs and to detect any potential increase in the risk of related birth defects. Pregnant women exposed to ARV drugs voluntarily enroll in the Registry through their health care providers. Information provided to the Registry includes no identifying patient information.,Advanced,,2858bc54-dd24-4784-9ad2-c7ea5bdcd463
antisense antiviral,,,,A drug made of short segments of DNA or RNA that can bind to and alter or suppress the function of viral DNA or RNA. Antisense antivirals prevent viruses from replicating.,Advanced,,3c38ff9a-e015-4638-885d-975811b4ccd6
antiviral,,,Virus,A drug used to prevent the growth or replication of viruses.,Newly Infected,,15b5456b-96ee-4606-a1b7-5f39c815dc7e
B cell,,B lymphocyte,"antibody, lymphocyte",A type of lymphocyte. B lymphocytes (B cells) produce antibodies to help the body fight infection.,Living with HIV,,2c6f42af-9e3d-4c93-88c7-bdce4f14c144
binding,,attachment,"CCR5 antagonist, life cycle","The first of seven steps in the HIV life cycle. When HIV attacks a CD4 cell, the virus binds (attaches itself) to molecules on the surface of the CD4 cell: first a CD4 receptor and then either a CCR5 or CXCR4 coreceptor.",Advanced,"https://aidsinfo.nih.gov/images/glossaryimages/Binding--Step-1-600.jpg, https://aidsinfo.nih.gov/images/glossaryimages/Life-Cycle-600.jpg",077bd56e-1b6b-4ed3-bbd5-e34cbc30b563
approved drug,,,"clinical trial, Food and Drug Administration, new drug application","A drug approved by the Food and Drug Administration (FDA) for sale in the United States. The extensive FDA drug approval process includes many steps, including preclinical laboratory and animal studies, safety and efficacy clinical trials in humans, filing of a New Drug Application by the drug manufacturer, FDA review of the application, and FDA approval or rejection of the application.",Living with HIV,https://aidsinfo.nih.gov/images/glossaryimages/Clinical-Trial-600.jpg,1f9c4852-abe5-43fa-9dca-900fa5cd5bfb
area under the curve,AUC,,drug interaction,A measure of how much drug reaches a person's bloodstream in a given period of time after a dose is given. The information is useful for determining dosing and for identifying potential drug interactions.,Advanced,,150aaa7d-215e-4231-8cfd-7ed108b55a50
arm,,,"clinical trial, intervention","A group or subgroup of participants in a clinical trial that receives specific interventions, or no intervention, according to the study protocol.",Advanced,,76cc87b4-7414-4bc2-aa95-ac4725acce80
arrhythmia,,,,Any irregularity in rhythm or rate of the heartbeat.,Advanced,,08a08d9b-b033-445b-a77d-1f8ca0170e26
arthralgia,,,,"Joint pain with additional symptoms such as redness, tenderness to touch, loss of motion, or swelling. Arthralgia is a common symptom of HIV infection and may be caused by drugs used to treat HIV and opportunistic infections.",Advanced,,dd72c75b-9e3f-41c9-84de-06d6d1b06b59
aspartate aminotransferase,AST,serum glutamic-oxaloacetic transaminase,liver function test,"An enzyme found especially in heart, muscle, and liver cells. Aspartate aminotransferase may be measured as part of a liver function test.",Advanced,,91698ae1-7190-4c19-9038-5c17bf49ebd5
aspergillosis,,,opportunistic infection,"An infection caused by the fungus Aspergillus. Invasive aspergillosis is a serious lung infection that can spread to other parts of the body. It occurs almost exclusively in people with low blood levels of neutrophils, a type of white blood cell, and weakened immune systems. Invasive aspergillosis in a person with HIV is rare.",Advanced,,a679466f-71de-4326-8af8-653af7a01a7d
assembly,,,life cycle,"The sixth of seven steps in the HIV life cycle. During assembly, new HIV RNA and HIV proteins made by the host CD4 cell move to the surface of the cell and assemble into immature (noninfectious) HIV.",Advanced,"https://aidsinfo.nih.gov/images/glossaryimages/Assembly-(Step-6)-600.jpg, https://aidsinfo.nih.gov/images/glossaryimages/Life-Cycle-600.jpg",7391c242-7fe0-49f1-9bb3-bde3d6478059
asthenia,,,,Weakness; lack or loss of energy or strength.,Advanced,,26508599-cff6-4eaf-97de-bbcf78955255
ataxia,,,,Impaired coordination of voluntary muscle movements. Ataxia may be an adverse effect of drugs used to treat either HIV or opportunistic infections or may be caused by neurological conditions associated with HIV.,Advanced,,19506c77-d3e8-425e-9325-6b1cffab6840
atherosclerosis,,,,"The gradual build-up of plaque inside of artery walls. (Plaque is made up of fat, cholesterol, calcium, and other substances found in blood.) Over time, the plaque hardens and narrows the arteries, decreasing the flow of oxygen-rich blood to organs and other parts of the body.",Advanced,,a9fcb330-18b0-41d9-b946-65131c8c976c
autoimmune disorder,,,Immune System,A condition that occurs when the immune system mistakenly attacks and destroys healthy body tissue. Autoimmune disorders may be caused by drugs used to treat opportunistic infections.,Newly Infected,,03fdf1de-8b56-4dd0-9b87-3b513c3bed1b
avascular necrosis,AVN,,Osteonecrosis,"Death of bone tissue (osteonecrosis) due to a lack of blood supply. Avascular necrosis (AVN) most commonly affects the hip. Symptoms include pain in the affected area of the body, limited range of motion, joint stiffness, muscle spasms, and limping. AVN is associated with several medical conditions, including cancer and HIV infection.",Advanced,,a92bc496-ffe1-46d1-a9b1-4c7a57f67b38
Burkitt lymphoma,,,"lymphoma, non-Hodgkin lymphoma","A fast-growing type of B-cell non-Hodgkin lymphoma (cancer of the lymphatic system). In people with HIV, Burkitt lymphoma is considered an AIDS-defining cancer.",Advanced,,f81d366a-404f-486b-88a5-2a07cb77a751
B-cell lymphoma,,,"AIDS-defining condition, B lymphocyte, lymphoma","A type of lymphoma (cancer of the lymphatic system) that starts in the B lymphocytes (B cells). People with weakened immune systems, including people with HIV, are at a higher risk for B-cell lymphomas than people with healthy immune systems. In people infected with HIV, certain B-cell lymphomas are considered AIDS-defining conditions.",Advanced,,043f1f02-c9a2-41f2-9179-f114cd4a26a7
backbone regimen,,,"integrase strand transfer inhibitor, non-nucleoside reverse transcriptase inhibitor, nucleoside reverse transcriptase inhibitor, protease inhibitor, treatment regimen","The two nucleoside reverse transcriptase inhibitors (NRTIs) upon which an initial HIV regimen is built. To complete the HIV regimen, the two NRTIs are combined with a third anti-retroviral HIV drug from either the non-nucleoside reverse transcriptase inhibitor (NNRTI), protease inhibitor (PI), or integrase strand transfer inhibitor (INSTI) drug class.",Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/Backbone-600.jpg,7e76fbde-8100-4bbf-892c-32900630291e
bactericide,,,bacterium,A drug used to kill bacteria.,Advanced,,6c600020-61db-4ddb-b4e4-528357935a59
bacteriostat,,,"bactericide, bacterium",A drug used to prevent the growth of bacteria. Bacteriostats do not kill bacteria.,Advanced,,d6177105-1d30-47ec-8cbd-86cb730ea8d0
bacterium,,,,"A single-celled microorganism. Bacteria occur naturally almost everywhere on earth, including in humans. Some bacteria can cause disease in humans. People with weakened immune systems, including people with HIV, are at a higher risk for bacterial infections than people with healthy immune systems.",Newly Infected,,728e7241-14d3-44d2-ac2f-bff963fe07b2
bartonellosis,,,opportunistic infection,"A group of infections caused by the bacteria Bartonella. Examples of the various infections include cat scratch disease, trench fever, bacillary angiomatosis (BA), and bacillary peliosis hepatis. BA and bacillary peliosis hepatis occur only in people with weakened immune systems, such as people with HIV.",Advanced,,0573e290-d8cb-4ff4-bbfa-38afd528ad88
baseline,,,,"An initial measurement used as the basis for future comparison. For people infected with HIV, baseline testing includes CD4 count, viral load (HIV RNA), and resistance testing. Baseline test results are used to guide HIV treatment choices and monitor effectiveness of anti-retroviral therapy (ART).",Living with HIV,,10aef203-53c2-4543-b7a6-8657256f5a24
basophil,,,"antigen, white blood cell",A type of white blood cell that helps the body fight infection by triggering an inflammatory response to an antigen.,Advanced,,9b668bd4-a67a-4330-aa97-3abc0b93c8fe
beta-2 microglobulin,B2M,,,"A protein found on the surface of many cells, including white blood cells. Beta-2 microglobulin (B2M) levels increase during infection with some viruses, including HIV.",Advanced,,e99bb5a6-8f61-4274-94ab-9290580c5069
BID,,"b.i.d., bid",,"An abbreviation meaning ""two times a day."" The abbreviation is commonly used in drug dosing instructions.",Advanced,,bc4e9095-672a-4b1f-826b-c7bdf0eb4821
bilirubin,,,"Jaundice, liver, liver Function Test",A reddish-yellow substance produced during the normal breakdown of red blood cells. Bilirubin is normally processed through the liver and eventually excreted from the body. Excess bilirubin in the blood may indicate liver damage or disease.,Advanced,,8938927d-8379-4fd1-a7cc-e0ea4cd1d285
candidiasis,,yeast infection,"AIDS-defining condition, opportunistic infection","A fungal infection caused by overgrowth of the yeast Candida (usually Candida albicans) in moist areas of the body. Candidiasis can affect the mucous membranes of the mouth, vagina, and anus. In people with HIV, candidiasis of the bronchi, trachea, lungs, or esophagus is an AIDS-defining condition.",Advanced,,3e161a8b-58a2-4c07-897e-327598eef68d
bioavailability,,,Pharmacology,A measure of the rate and extent to which a drug is absorbed and becomes available at the site of drug action in the body.,Living with HIV,,357d8f32-2173-4956-9dd1-e1d0b41d56ca
biopsy,,,,"Removal of tissue, cells, or fluid from the body for examination under a microscope. Biopsies are used to diagnose disease.",Advanced,,a546965d-9711-412b-bd1e-17131103d531
blip,,,"undetectable viral load, viral load, virologic failure","A temporary, detectable increase in the amount of HIV in the blood (viral load) that occurs after anti-retroviral therapy (ART) has effectively suppressed the virus to an undetectable level. Isolated blips are not considered a sign of virologic failure.",Newly Infected,,7d8716c7-c8e7-4c05-92cd-bc390f45f834
blood-brain barrier,,,,"A semi-permeable layer of tightly joined cells that separate the brain from circulating blood. The blood-brain barrier prevents potentially dangerous substances in the blood, such as disease-causing organisms or chemical compounds, from entering the brain tissue. Certain anti-retroviral (ARV) drugs can cross the blood-brain barrier and may help stop or slow HIV damage to the brain.",Advanced,,56171b36-8e9f-4f82-83e5-ed9e5bcde297
body habitus changes,,,"Gynecomastia, Lipodystrophy Syndrome, Wasting Syndrome","Noticeable physical changes in body shape or appearance. In people with HIV, these changes may be due to HIV infection, opportunistic infections, or anti-retroviral (ARV) drugs.",Living with HIV,,faabc885-a030-4372-b62c-76e8b61f28df
bone marrow,,,,"The soft, sponge-like tissue in the center of bones. There are two types of bone marrow: yellow (made up of mostly fat cells) and red (the source of red blood cells, platelets, and most white blood cells).",,,0c7eef2e-c9fb-4b2e-89d6-05ae59bde4af
boosting,,,protease inhibitor,"Using an anti-retroviral (ARV) drug (or other drug) to increase the effectiveness of another ARV drug. For example, drugs in the protease inhibitor ARV drug class (called PIs) are often boosted with the ARV drug ritonavir. Ritonavir interferes with the breakdown of the PI, which allows the PI to remain in the body longer at a higher concentration.",,https://aidsinfo.nih.gov/images/glossaryimages/Boosting-600.jpg,9285f955-a4f7-42c5-92c6-fa02d299ce5f
boxed warning,,"Black Box Warning, Black Label Warning","Food and Drug Administration, package insert",The strongest form of warning required by the Food and Drug Administration (FDA) for prescription drug labeling. A boxed warning alerts health care providers and consumers to increased risk of serious adverse reactions associated with use of a drug or to restrictions on use of a drug. The boxed warning is presented in a box surrounded by a black border and is placed on the drug label and any package inserts or promotional materials intended for the prescriber or patient.,,,d13e3736-dced-4831-a861-e10a599f2f16
bronchoscopy,,,,"A procedure used to look inside the airways of the lungs. The procedure is done using a bronchoscope, a flexible tube that has a camera on one end of it. A bronchoscopy may be used to diagnose HIV-related infections or cancer.",Advanced,,8205cd21-d5c6-44c7-a4eb-0ec2e143fc4a
bronchospasm,,,,"Sudden, involuntary contraction of the muscles of the bronchii (airways in the lungs).",,,aefbc233-52e6-4e0c-8b7a-f72d4e2c7825
budding,,,Life Cycle,"The final step of seven steps in the HIV life cycle. During budding, immature (noninfectious) HIV pushes itself out of the host CD4 cell. (Noninfectious HIV can't infect another CD4 cell.) Once outside the CD4 cell, the new HIV releases protease, an HIV enzyme. Protease acts to break up the long protein chains that form the noninfectious virus. The smaller HIV proteins combine to form mature, infectious HIV.",Advanced,"https://aidsinfo.nih.gov/images/glossaryimages/Budding-(Step-7)-600.jpg, https://aidsinfo.nih.gov/images/glossaryimages/Life-Cycle-600.jpg",2983f93f-3c98-4bdd-b176-213bb1e21a38
capsid,,HIV viral core,"envelope, enzyme, glycoprotein, human immunodeficiency virus,ribonucleic acid",The bullet-shaped center of HIV. The HIV capsid contains the genetic information (two single strands of RNA) and three enzymes needed for HIV to replicate.,Advanced,https://aidsinfo.nih.gov/images/glossaryimages/HIVCapsid-600.jpg,2c450483-158d-464e-9fa9-d8a83c99a65b
cachexia,,,,"Physical wasting (loss of body weight and muscle mass) frequently associated with chronic disease, such as cancer or AIDS.",Advanced,,bfcb2d12-5766-41f4-bcde-02850effa2f7
campylobacteriosis,,,Guillain-Barré Syndrome,"An enteric (intestinal) infection caused by the bacterium Campylobacter. Symptoms of campylobacteriosis, if any, include diarrhea (often bloody), abdominal cramping and pain, nausea and vomiting, fever, and fatigue. Some people with campylobacteriosis may develop Guillain-Barré syndrome. Certain bacterial enteric infections, including campylobacteriosis, occur at a much higher rate in people with HIV than in the general population.",Advanced,,b6a92512-3453-4747-9116-b8e48b26aeda
CCR5,,chemokine receptor 5,"CCR5 antagonist, co-receptor, fusion, life cycle","A protein on the surface of certain immune system cells, including CD4 T lymphocytes (CD4 cells). CCR5 can act as a coreceptor (a second receptor binding site) for HIV when the virus enters a host cell.",Living with HIV,https://aidsinfo.nih.gov/images/glossaryimages/Binding-without-title-600.jpg,09331b49-37bc-47d5-9d43-80b8f57655e1
CCR5 antagonist,,"CCR5 inhibitor, CCR5 receptor blocker","CCR5, drug class","anti-retroviral (ARV) HIV drug class. CCR5 antagonists block the CCR5 coreceptor on the surface of certain immune cells, such as CD4 T lymphocytes (CD4 cells). This prevents HIV from entering the cell.",Living with HIV,"https://aidsinfo.nih.gov/images/glossaryimages/CCR5-Antagonist2-600.jpg, https://aidsinfo.nih.gov/images/glossaryimages/Binding--Step-1-600.jpg",5bc646b7-d700-4a55-899c-58d5b0b2680e
cardiomyopathy,,,,"Disease of the heart muscle. Cardiomyopathy weakens the heart muscle, making it hard for the heart to pump blood to the rest of the body. HIV infection or use of some anti-retroviral (ARV) drugs may cause cardiomyopathy.",Advanced,,d5a3237f-1144-4c60-bb7d-e28d220bf963
cardiovascular,,,,Relating to or involving the heart and blood vessels. Use of some anti-retroviral (ARV) drugs may increase the risk of cardiovascular disease.,Advanced,,a856dc8c-e447-4f86-8fd8-5d81714676c0
CD4 cell,,"CD4 T lymphocyte, helper T cell","CD4 count, CD4 percentage, lymphocyte, T lymphocyte","A type of lymphocyte. CD4 T lymphocytes (CD4 cells) help coordinate the immune response by stimulating other immune cells, such as macrophages, B lymphocytes (B cells), and CD8 T lymphocytes (CD8 cells), to fight infection. HIV weakens the immune system by destroying CD4 cells.",Newly Infected,,b2adab1a-d959-4194-9133-5198f2f19b3f
CD4 cell count,,CD4 T lymphocyte count,"CD4 percentage, CD4 T lymphocyte, HIV progression","A laboratory test that measures the number of CD4 T lymphocytes (CD4 cells) in a sample of blood. In people with HIV, the CD4 count is the most important laboratory indicator of immune function and the strongest predictor of HIV progression. The CD4 count is one of the factors used to determine when to start anti-retroviral therapy (ART). The CD4 count is also used to monitor response to ART.",Newly Infected,,a8433466-0151-4a8f-a93a-018119a82023
CD4 cell percentage,,CD4 T lymphocyte percentage,"CD4 count, CD4 T lymphocyte, HIV progression","Percentage of white blood cells that are CD4 T lymphocytes (CD4 cells). In certain cases, such as during acute HIV infection or HIV infection in children younger than 5 years of age, CD4 percentage is used rather than CD4 count to assess HIV progression or response to anti-retroviral therapy (ART).",Living with HIV,,529710a9-da98-4a7b-a1e1-196004655913
CD8 cell,,"CD8 T lymphocyte, cytotoxic T lymphocyte, killer T cell","lymphocyte, T lymphocyte","A type of lymphocyte. CD8 T lymphocytes (CD8 cells) recognize and destroy cells infected with microorganisms, such as bacteria or viruses.",Newly Infected,,2bb51dad-564e-4f44-b214-2bd409ea429c
CD4 receptor,,,"CCR5, CD4 T lymphocyte, CXCR4, fusion, life cycle","A protein found primarily on the surface of CD4 T lymphocytes (CD4 cells). To enter a host cell, HIV binds to a CD4 receptor and a coreceptor (either CCR5 or CXCR4) on the host cell.",Living with HIV,https://aidsinfo.nih.gov/images/glossaryimages/Binding-without-title-600.jpg,e46d4223-fb6c-4d53-8df3-dadcfd32a327
